url,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
https://en.wikipedia.org/wiki/Pankaj_Tripathi,actor,director,pankaj,tripathi,movie,bollywood,newton,wiki,belsand,super
https://justchecking.com,totalyl,unrelated,keywords,lets,see,what,happens,hope,just,checking
https://justchecking.com2,totalyl,unrelated,keywords,lets,see,what,happens,hope,just,checking
https://en.wikipedia.org/wiki/Frequency_(film),frequency,movie,hollywood,fantasy,warner,jim,thriller,fantasy,bros,frequency
https://www.imdb.com/title/tt0186151/,dennis,movie,hollywood,english,jim,bros,movie,english,jim,caviezel
https://www.rogerebert.com/reviews/frequency-2000,frequency,thriller,caviezel,english,warner,genre,thriller,fantasy,movie,hollywood
https://en.wikipedia.org/wiki/Jim_Caviezel,jim,caviezel,actor,director,action,fantasy,movie,hollywood,english,frequency
https://www.imdb.com/name/nm0001029/,caviezel,actor,hollywood,action,jim,english,frequency,person,movie,series
https://en.wikipedia.org/wiki/Dennis_Quaid,dennis,actor,hollywood,action,frequency,quaid,director,movie,person,english
https://en.wikipedia.org/wiki/Sherlock_(TV_series),sherlock,holmes,thriller,drama,benedict,cumberbatch,united kingdom,BBC,martin,tv
https://en.wikipedia.org/wiki/Benedict_Cumberbatch,sherlock,holmes,actor,series,benedict,cumberbatch,united kingdom,imitation,british,tv
https://en.wikipedia.org/wiki/Martin_Freeman,sherlock,holmes,actor,series,martin,freeman,united kingdom,hobbit,british,aldershot
https://en.wikipedia.org/wiki/Toby_Haynes,toby,haynes,director,sherlock,holmes,actor,british,united,kingdom,brexit
https://www.bbc.com/,bbc,primetime,emmy,series,tv,genre,drama,thriller,sherlock,award
https://en.wikipedia.org/wiki/Sherlock_Holmes,sherlock,holmes,author,arthur,conan,drama,thriller,award,united,kingdom
https://www.imdb.com/title/tt1475582/,sherlock,holmes,tv,series,benedict,cumberbatch,united kingdom,BBC,martin,freeman
https://hollywoodhatesme.wordpress.com/tag/martin-freeman/,avengers,united,kingdom,martin,freeman,sherlock,holmes,british,hobbit,hollywood
http://www.hollywood.com/movies/do-we-still-love-martin-freeman-60226570/,sherlock,holmes,avengers,hobbit,martin,freeman,united,kingdom,hollywood,british
https://www.telegraph.co.uk/tv/0/martin-freeman-interview-sherlock-isnt-fun-anymore/,sherlock,holmes,tv,series,benedict,cumberbatch,united kingdom,BBC,martin,freeman
https://www.imdb.com/name/nm0293509/,sherlock,holmes,tv,series,benedict,cumberbatch,actor,BBC,martin,freeman
https://www.theguardian.com/culture/martin-freeman,hollywood,sherlock,holmes,united,kingdom,actor,british,martin,freeman,hobbit
https://www.goldenglobes.com/person/martin-freeman,united,kingdom,martin,freeman,actor,british,hobbit,hollywood,sherlock,holmes
https://indianexpress.com/article/entertainment/hollywood/martin-freeman-sherlock-season-five-5104632/,hobbit,hollywood,british,martin,freeman,avengers,sherlock,holmes,united,kingdom
https://filmdaily.co/obsessions/benedict-cumberbatch-overrated/,hollywood,sherlock,holmes,benedict,cumberbatch,actor,atonement,united,kingdom,british
https://en.wikipedia.org/wiki/List_of_Benedict_Cumberbatch_performances,sherlock,holmes,benedict,cumberbatch,hollywood,united,kingdom,atonement,british,avengers
https://www.imdb.com/name/nm1212722/,sherlock,holmes,tv,series,benedict,cumberbatch,united kingdom,BBC,martin,freeman
http://www.benedictcumberbatch.co.uk/,atonement,avengers,british,sherlock,holmes,benedict,cumberbatch,united,kingdom,hollywood
http://mentalfloss.com/article/544006/facts-about-benedict-cumberbatch,sherlock,holmes,tv,series,benedict,cumberbatch,actor,BBC,martin,freeman
https://www.rottentomatoes.com/celebrity/1176998-benedict_cumberbatch,sherlock,holmes,tv,series,benedict,cumberbatch,united kingdom,BBC,martin,freeman
https://metro.co.uk/tag/benedict-cumberbatch/,british,hollywood,benedict,cumberbatch,actor,atonement,sherlock,holmes,united,kingdom
https://www.vanityfair.com/news/2011/01/quaid-201101,hollywood,actor,dragonheart,frequency,dennis,quaid,legion,soul,surfer,america
https://www.galeriemagazine.com/dennis-quaids-pacific-palisades-mansion-is-on-the-market/,frequency,dennis,quaid,hollywood,actor,america,soul,surfer,dragonheart,legion
https://www.hollywoodreporter.com/news/dennis-quaid-play-ronald-reagan-1098209,dennis,quaid,actor,america,frequency,legion,dragonheart,soul,surfer,hollywood
https://www.imdb.com/title/tt2079013/,actor,dennis,quaid,legion,dragonheart,frequency,soul,surfer,hollywood,america
